text,label
Congratulations! You have been selected for a free gift card. Claim it now.,1
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
Are we still on for lunch today? Let me know what time works best for you.,0
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Please review the attached draft of the new marketing campaign and provide feedback.,0
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
Can you please send me the presentation slides from yesterday's seminar?,0
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Just following up on my previous email regarding the project timeline.,0
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
Your password expires in 24 hours. Click this link to update it.,1
Just following up on my previous email regarding the project timeline.,0
Security Alert: Unauthorized access detected. Login below to secure your account.,1
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
Are we still on for lunch today? Let me know what time works best for you.,0
Security Alert: Unauthorized access detected. Login below to secure your account.,1
Congratulations! You have been selected for a free gift card. Claim it now.,1
Can you please send me the presentation slides from yesterday's seminar?,0
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
Are we still on for lunch today? Let me know what time works best for you.,0
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
Just following up on my previous email regarding the project timeline.,0
We noticed suspicious activity on your credit card. Verify your transactions here.,1
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Your password expires in 24 hours. Click this link to update it.,1
Please review the attached draft of the new marketing campaign and provide feedback.,0
Your password expires in 24 hours. Click this link to update it.,1
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Congratulations! You have been selected for a free gift card. Claim it now.,1
We noticed suspicious activity on your credit card. Verify your transactions here.,1
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
Congratulations! You have been selected for a free gift card. Claim it now.,1
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Are we still on for lunch today? Let me know what time works best for you.,0
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Your monthly newsletter is here! Check out the latest updates from our company.,0
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
Congratulations! You have been selected for a free gift card. Claim it now.,1
Congratulations! You have been selected for a free gift card. Claim it now.,1
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
Are we still on for lunch today? Let me know what time works best for you.,0
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Are we still on for lunch today? Let me know what time works best for you.,0
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
We noticed suspicious activity on your credit card. Verify your transactions here.,1
Congratulations! You have been selected for a free gift card. Claim it now.,1
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
Here are the notes from our brainstorming session. Let's discuss next steps.,0
Please review the attached draft of the new marketing campaign and provide feedback.,0
Can you please send me the presentation slides from yesterday's seminar?,0
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
Your monthly newsletter is here! Check out the latest updates from our company.,0
Your password expires in 24 hours. Click this link to update it.,1
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
Can you please send me the presentation slides from yesterday's seminar?,0
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
Your password expires in 24 hours. Click this link to update it.,1
Can you please send me the presentation slides from yesterday's seminar?,0
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
Security Alert: Unauthorized access detected. Login below to secure your account.,1
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
Your monthly newsletter is here! Check out the latest updates from our company.,0
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
Here are the notes from our brainstorming session. Let's discuss next steps.,0
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Just following up on my previous email regarding the project timeline.,0
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
We noticed suspicious activity on your credit card. Verify your transactions here.,1
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
Just following up on my previous email regarding the project timeline.,0
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
Please review the attached draft of the new marketing campaign and provide feedback.,0
Just following up on my previous email regarding the project timeline.,0
Your password expires in 24 hours. Click this link to update it.,1
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Here are the notes from our brainstorming session. Let's discuss next steps.,0
Are we still on for lunch today? Let me know what time works best for you.,0
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Security Alert: Unauthorized access detected. Login below to secure your account.,1
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
Please review the attached draft of the new marketing campaign and provide feedback.,0
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
Can you please send me the presentation slides from yesterday's seminar?,0
Can you please send me the presentation slides from yesterday's seminar?,0
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
Here are the notes from our brainstorming session. Let's discuss next steps.,0
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Are we still on for lunch today? Let me know what time works best for you.,0
Your monthly newsletter is here! Check out the latest updates from our company.,0
Here are the notes from our brainstorming session. Let's discuss next steps.,0
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
Please review the attached draft of the new marketing campaign and provide feedback.,0
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
Here are the notes from our brainstorming session. Let's discuss next steps.,0
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
Congratulations! You have been selected for a free gift card. Claim it now.,1
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
We noticed suspicious activity on your credit card. Verify your transactions here.,1
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Your monthly newsletter is here! Check out the latest updates from our company.,0
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
Just following up on my previous email regarding the project timeline.,0
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
Congratulations! You have been selected for a free gift card. Claim it now.,1
Please review the attached draft of the new marketing campaign and provide feedback.,0
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
Your password expires in 24 hours. Click this link to update it.,1
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Your monthly newsletter is here! Check out the latest updates from our company.,0
Your password expires in 24 hours. Click this link to update it.,1
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Please review the attached draft of the new marketing campaign and provide feedback.,0
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
Your password expires in 24 hours. Click this link to update it.,1
Please review the attached draft of the new marketing campaign and provide feedback.,0
Please review the attached draft of the new marketing campaign and provide feedback.,0
Are we still on for lunch today? Let me know what time works best for you.,0
Here are the notes from our brainstorming session. Let's discuss next steps.,0
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Here are the notes from our brainstorming session. Let's discuss next steps.,0
Just following up on my previous email regarding the project timeline.,0
Security Alert: Unauthorized access detected. Login below to secure your account.,1
Just following up on my previous email regarding the project timeline.,0
Security Alert: Unauthorized access detected. Login below to secure your account.,1
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
Are we still on for lunch today? Let me know what time works best for you.,0
Your monthly newsletter is here! Check out the latest updates from our company.,0
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
Congratulations! You have been selected for a free gift card. Claim it now.,1
Just following up on my previous email regarding the project timeline.,0
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Can you please send me the presentation slides from yesterday's seminar?,0
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
Your monthly newsletter is here! Check out the latest updates from our company.,0
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Just following up on my previous email regarding the project timeline.,0
Are we still on for lunch today? Let me know what time works best for you.,0
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
We noticed suspicious activity on your credit card. Verify your transactions here.,1
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
Congratulations! You have been selected for a free gift card. Claim it now.,1
Security Alert: Unauthorized access detected. Login below to secure your account.,1
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
Can you please send me the presentation slides from yesterday's seminar?,0
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
Are we still on for lunch today? Let me know what time works best for you.,0
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
Security Alert: Unauthorized access detected. Login below to secure your account.,1
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Your password expires in 24 hours. Click this link to update it.,1
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
Just following up on my previous email regarding the project timeline.,0
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Here are the notes from our brainstorming session. Let's discuss next steps.,0
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Can you please send me the presentation slides from yesterday's seminar?,0
We noticed suspicious activity on your credit card. Verify your transactions here.,1
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Congratulations! You have been selected for a free gift card. Claim it now.,1
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
Here are the notes from our brainstorming session. Let's discuss next steps.,0
Here are the notes from our brainstorming session. Let's discuss next steps.,0
We noticed suspicious activity on your credit card. Verify your transactions here.,1
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
Congratulations! You have been selected for a free gift card. Claim it now.,1
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
Are we still on for lunch today? Let me know what time works best for you.,0
Just following up on my previous email regarding the project timeline.,0
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
Just following up on my previous email regarding the project timeline.,0
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Here are the notes from our brainstorming session. Let's discuss next steps.,0
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
Security Alert: Unauthorized access detected. Login below to secure your account.,1
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
Security Alert: Unauthorized access detected. Login below to secure your account.,1
We noticed suspicious activity on your credit card. Verify your transactions here.,1
Congratulations! You have been selected for a free gift card. Claim it now.,1
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Your monthly newsletter is here! Check out the latest updates from our company.,0
Can you please send me the presentation slides from yesterday's seminar?,0
Your monthly newsletter is here! Check out the latest updates from our company.,0
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
Security Alert: Unauthorized access detected. Login below to secure your account.,1
Please review the attached draft of the new marketing campaign and provide feedback.,0
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Your monthly newsletter is here! Check out the latest updates from our company.,0
Are we still on for lunch today? Let me know what time works best for you.,0
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
Your monthly newsletter is here! Check out the latest updates from our company.,0
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Can you please send me the presentation slides from yesterday's seminar?,0
Here are the notes from our brainstorming session. Let's discuss next steps.,0
Please review the attached draft of the new marketing campaign and provide feedback.,0
Please review the attached draft of the new marketing campaign and provide feedback.,0
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Congratulations! You have been selected for a free gift card. Claim it now.,1
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Here are the notes from our brainstorming session. Let's discuss next steps.,0
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Here are the notes from our brainstorming session. Let's discuss next steps.,0
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
Congratulations! You have been selected for a free gift card. Claim it now.,1
Security Alert: Unauthorized access detected. Login below to secure your account.,1
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
Security Alert: Unauthorized access detected. Login below to secure your account.,1
Here are the notes from our brainstorming session. Let's discuss next steps.,0
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
Your monthly newsletter is here! Check out the latest updates from our company.,0
Can you please send me the presentation slides from yesterday's seminar?,0
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Just following up on my previous email regarding the project timeline.,0
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
Just following up on my previous email regarding the project timeline.,0
Here are the notes from our brainstorming session. Let's discuss next steps.,0
We noticed suspicious activity on your credit card. Verify your transactions here.,1
We noticed suspicious activity on your credit card. Verify your transactions here.,1
Please review the attached draft of the new marketing campaign and provide feedback.,0
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Security Alert: Unauthorized access detected. Login below to secure your account.,1
Congratulations! You have been selected for a free gift card. Claim it now.,1
Your password expires in 24 hours. Click this link to update it.,1
Your password expires in 24 hours. Click this link to update it.,1
Are we still on for lunch today? Let me know what time works best for you.,0
Please review the attached draft of the new marketing campaign and provide feedback.,0
Security Alert: Unauthorized access detected. Login below to secure your account.,1
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Your monthly newsletter is here! Check out the latest updates from our company.,0
Here are the notes from our brainstorming session. Let's discuss next steps.,0
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
Just following up on my previous email regarding the project timeline.,0
Your monthly newsletter is here! Check out the latest updates from our company.,0
Here are the notes from our brainstorming session. Let's discuss next steps.,0
Your monthly newsletter is here! Check out the latest updates from our company.,0
Are we still on for lunch today? Let me know what time works best for you.,0
Your monthly newsletter is here! Check out the latest updates from our company.,0
Can you please send me the presentation slides from yesterday's seminar?,0
Can you please send me the presentation slides from yesterday's seminar?,0
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
Your monthly newsletter is here! Check out the latest updates from our company.,0
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
Security Alert: Unauthorized access detected. Login below to secure your account.,1
Just following up on my previous email regarding the project timeline.,0
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
Please review the attached draft of the new marketing campaign and provide feedback.,0
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
Please review the attached draft of the new marketing campaign and provide feedback.,0
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
Please review the attached draft of the new marketing campaign and provide feedback.,0
Are we still on for lunch today? Let me know what time works best for you.,0
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
Are we still on for lunch today? Let me know what time works best for you.,0
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Please review the attached draft of the new marketing campaign and provide feedback.,0
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
Are we still on for lunch today? Let me know what time works best for you.,0
Just following up on my previous email regarding the project timeline.,0
Congratulations! You have been selected for a free gift card. Claim it now.,1
Security Alert: Unauthorized access detected. Login below to secure your account.,1
Please review the attached draft of the new marketing campaign and provide feedback.,0
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Can you please send me the presentation slides from yesterday's seminar?,0
Just following up on my previous email regarding the project timeline.,0
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Your password expires in 24 hours. Click this link to update it.,1
Just following up on my previous email regarding the project timeline.,0
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Here are the notes from our brainstorming session. Let's discuss next steps.,0
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Just following up on my previous email regarding the project timeline.,0
Can you please send me the presentation slides from yesterday's seminar?,0
Your monthly newsletter is here! Check out the latest updates from our company.,0
Are we still on for lunch today? Let me know what time works best for you.,0
We noticed suspicious activity on your credit card. Verify your transactions here.,1
Please review the attached draft of the new marketing campaign and provide feedback.,0
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
Are we still on for lunch today? Let me know what time works best for you.,0
Congratulations! You have been selected for a free gift card. Claim it now.,1
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Security Alert: Unauthorized access detected. Login below to secure your account.,1
Here are the notes from our brainstorming session. Let's discuss next steps.,0
Here are the notes from our brainstorming session. Let's discuss next steps.,0
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
Your password expires in 24 hours. Click this link to update it.,1
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
We noticed suspicious activity on your credit card. Verify your transactions here.,1
We noticed suspicious activity on your credit card. Verify your transactions here.,1
We noticed suspicious activity on your credit card. Verify your transactions here.,1
Please review the attached draft of the new marketing campaign and provide feedback.,0
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
We noticed suspicious activity on your credit card. Verify your transactions here.,1
We noticed suspicious activity on your credit card. Verify your transactions here.,1
Security Alert: Unauthorized access detected. Login below to secure your account.,1
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
We noticed suspicious activity on your credit card. Verify your transactions here.,1
Can you please send me the presentation slides from yesterday's seminar?,0
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Just following up on my previous email regarding the project timeline.,0
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Your password expires in 24 hours. Click this link to update it.,1
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Your password expires in 24 hours. Click this link to update it.,1
Congratulations! You have been selected for a free gift card. Claim it now.,1
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
Security Alert: Unauthorized access detected. Login below to secure your account.,1
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Are we still on for lunch today? Let me know what time works best for you.,0
Congratulations! You have been selected for a free gift card. Claim it now.,1
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
Security Alert: Unauthorized access detected. Login below to secure your account.,1
Just following up on my previous email regarding the project timeline.,0
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Just following up on my previous email regarding the project timeline.,0
Here are the notes from our brainstorming session. Let's discuss next steps.,0
Please review the attached draft of the new marketing campaign and provide feedback.,0
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
Can you please send me the presentation slides from yesterday's seminar?,0
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
Can you please send me the presentation slides from yesterday's seminar?,0
Your monthly newsletter is here! Check out the latest updates from our company.,0
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
Your monthly newsletter is here! Check out the latest updates from our company.,0
Here are the notes from our brainstorming session. Let's discuss next steps.,0
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Congratulations! You have been selected for a free gift card. Claim it now.,1
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
Your monthly newsletter is here! Check out the latest updates from our company.,0
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
Your password expires in 24 hours. Click this link to update it.,1
Your monthly newsletter is here! Check out the latest updates from our company.,0
Just following up on my previous email regarding the project timeline.,0
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Your password expires in 24 hours. Click this link to update it.,1
Congratulations! You have been selected for a free gift card. Claim it now.,1
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
Please review the attached draft of the new marketing campaign and provide feedback.,0
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
Can you please send me the presentation slides from yesterday's seminar?,0
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
Congratulations! You have been selected for a free gift card. Claim it now.,1
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Can you please send me the presentation slides from yesterday's seminar?,0
Just following up on my previous email regarding the project timeline.,0
Your password expires in 24 hours. Click this link to update it.,1
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Please review the attached draft of the new marketing campaign and provide feedback.,0
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
Can you please send me the presentation slides from yesterday's seminar?,0
Your monthly newsletter is here! Check out the latest updates from our company.,0
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Can you please send me the presentation slides from yesterday's seminar?,0
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
Thanks for your purchase! Your order has shipped and should arrive by Friday.,0
Here are the notes from our brainstorming session. Let's discuss next steps.,0
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
We noticed suspicious activity on your credit card. Verify your transactions here.,1
Your password expires in 24 hours. Click this link to update it.,1
"Hi Team, just a reminder about our meeting tomorrow at 10 AM. See you then.",0
Can you please send me the presentation slides from yesterday's seminar?,0
Happy Birthday! Wishing you a fantastic day and a great year ahead.,0
Security Alert: Unauthorized access detected. Login below to secure your account.,1
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
Congratulations! You have been selected for a free gift card. Claim it now.,1
Your monthly newsletter is here! Check out the latest updates from our company.,0
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
"Dear Customer, your package could not be delivered. Pay the shipping fee here.",1
Your monthly newsletter is here! Check out the latest updates from our company.,0
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
Invoice #12345 attached. Please remit payment immediately to avoid late fees.,1
Here are the notes from our brainstorming session. Let's discuss next steps.,0
We noticed suspicious activity on your credit card. Verify your transactions here.,1
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
Are we still on for lunch today? Let me know what time works best for you.,0
Attached is the quarterly financial report for your review. Let me know if you have questions.,0
Final Notice: Your subscription will be cancelled unless you update your payment info.,1
Security Alert: Unauthorized access detected. Login below to secure your account.,1
ATTENTION: Your email quota is full. Upgrade now or lose your messages.,1
We noticed suspicious activity on your credit card. Verify your transactions here.,1
URGENT: Your account has been suspended. Click here to verify your identity immediately.,1
Your password expires in 24 hours. Click this link to update it.,1
Congratulations! You have been selected for a free gift card. Claim it now.,1
"You have won ,000,000! Reply with your bank details to claim your prize now.",1
